
India;primary;Texas;EB2;11/18/2008;08/16/2009;08/18/2009;;regular;no;;;;approved;08/25/2009
India;primary;Nebraska;EB2;;05/29/2009;;;regular;no;;;;approved;08/24/2008
India;primary;Nebraska;EB2;11/24/2008;06/12/2009;06/15/2009;;regular;;;;;approved;09/01/2009
India;primary;Texas;EB2;12/17/2004;08/07/2007;08/08/2007;10/10/2007;regular;no;;;;approved;08/31/2009
India;primary;Texas;EB2;08/25/2008;07/23/2009;07/24/2009;;regular;no;;;;approved;08/28/2009
United Kingdom;primary;California;EB3;;06/10/2009;;;regular;;;;;approved;08/25/2009
India;primary;Texas;EB2;;06/02/2009;06/02/2009;;regular;no;;;;approved;09/01/2009
India;primary;Texas;EB3;;08/13/2009;;;regular;;;;;approved;09/01/2009
India;primary;Nebraska;EB2;;06/03/2009;06/04/2009;;regular;;;;;approved;09/01/2009
India;primary;Texas;EB2-NIW;10/05/2007;10/04/2007;10/05/2007;10/10/2007;regular;yes;04/20/2009;To prove how I qualify under N... more;05/07/2009;approved;05/26/2009
Japan;primary;Texas;EB1B;;06/23/2009;06/24/2009;06/25/2009;regular;no;;;;approved;08/31/2009
Indonesia;primary;Nebraska;EB2;;06/03/2009;06/03/2009;06/04/2009;regular;no;;;;approved;08/28/2009
India;primary;California;EB2;;03/13/2009;;;regular;no;;;;approved;06/01/2009
India;primary;Texas;EB2;09/16/2008;07/01/2009;07/02/2009;07/08/2009;regular;no;;;;approved;08/31/2009
Pakistan;primary;Nebraska;EB1C;;03/22/2009;03/24/2009;03/31/2009;regular;no;;;;approved;08/31/2009
India;primary;Nebraska;EB2;10/10/2008;10/10/2008;05/05/2009;05/29/2009;regular;;;;;approved;08/24/2009
Sri Lanka;primary;Texas;EB2;08/08/2008;07/23/2009;07/28/2009;;regular;;;;;approved;08/06/2009
Ghana;primary;Texas;EB1A;03/24/2009;03/20/2009;03/24/2009;03/24/2009;regular;no;;;;approved;08/28/2009
India;primary;Nebraska;EB2;10/30/2008;06/01/2009;06/01/2009;08/27/2009;regular;no;;;;approved;08/27/2009
India;primary;Texas;EB2;12/21/2005;04/03/2006;04/03/2006;04/03/2006;premium;yes;07/14/2009;Lawyer just mentioned that the... more;08/17/2009;approved;08/28/2009
India;primary;Texas;EB3;04/23/2008;09/08/2008;09/11/2008;09/11/2008;regular;;;;;pending;
Brazil;primary;Nebraska;EB2;10/03/2008;06/03/2009;06/04/2009;06/04/2009;regular;;;;;approved;08/28/2009
India;primary;Nebraska;EB2-NIW;;02/25/2009;;;regular;;;;;pending;
India;primary;Nebraska;EB1C;;12/06/2008;12/09/2007;;regular;yes;05/12/2009;Detailed description of duties... more;07/31/2009;approved;08/05/2009
Israel;primary;Texas;EB2;11/26/2007;05/02/2008;05/05/2008;05/05/2008;regular;yes;02/05/2009;A2P;02/27/2009;denied;08/26/2009
China;primary;Nebraska;EB2;09/29/2008;05/29/2009;05/29/2009;05/29/2009;regular;no;;;;approved;08/26/2009
Hong Kong;primary;Texas;EB3;11/24/2008;07/06/2009;07/08/2009;07/10/2009;premium;no;;;;approved;07/10/2009
